,Temperatura Media (C),Temperatura Minima (C),Temperatura Maxima (C),Precipitacao (mm),Final de Semana,Consumo de cerveja (litros)
0,27.3,23.9,32.5,0.0,0,25.461
1,27.02,24.5,33.5,0.0,0,28.971999999999998
2,24.82,22.4,29.9,0.0,1,30.814
3,23.98,21.5,28.6,1.2,1,29.799
4,23.82,21.0,28.3,0.0,0,28.9
5,23.78,20.1,30.5,12.2,0,28.218000000000004
6,24.0,19.5,33.7,0.0,0,29.732
7,24.9,19.5,32.8,48.6,0,28.397
8,28.2,21.9,34.0,4.4,0,24.886
9,26.76,22.1,34.2,0.0,1,37.937
10,27.62,22.2,34.8,3.4,1,36.254
11,25.96,21.4,35.4,0.0,0,25.743000000000002
12,25.52,21.2,34.8,0.8,0,26.99
13,25.96,21.3,34.0,1.6,0,31.825
14,25.86,21.5,32.8,3.0,0,25.724
15,26.5,22.3,32.7,2.0,0,29.938000000000002
16,28.86,22.0,35.8,0.0,1,37.69
17,28.26,23.4,35.6,0.0,1,30.524
18,28.22,22.7,36.5,3.7,0,29.265
19,27.68,23.3,35.6,0.6,0,35.126999999999995
20,25.32,22.7,30.9,0.0,0,29.13
21,21.74,19.2,26.1,31.0,0,25.795
22,21.04,18.5,26.1,3.6,0,21.784000000000002
23,23.12,19.0,29.4,13.0,1,28.348000000000003
24,24.4,18.1,30.0,0.0,1,31.088
25,22.4,18.9,28.7,20.8,0,21.52
26,23.6,20.5,28.7,1.2,0,29.971999999999998
27,25.68,20.1,29.9,4.9,0,22.603
28,25.0,21.5,29.2,0.0,0,22.695999999999998
29,22.8,20.9,26.9,0.0,0,26.845
30,21.64,18.5,24.3,0.2,1,27.03
31,24.16,20.6,28.0,0.0,1,32.056999999999995
32,22.48,20.7,26.5,4.5,0,24.096999999999998
33,23.16,18.0,31.1,1.6,0,31.655
34,22.12,19.9,23.7,3.2,0,24.738000000000003
35,20.28,19.1,22.9,5.6,0,19.95
36,21.06,17.9,25.4,18.4,0,22.820999999999998
37,21.86,17.3,28.7,16.7,1,28.893
38,22.76,17.1,29.5,10.4,1,29.926
39,24.0,19.3,30.7,0.0,0,24.061999999999998
40,23.92,20.1,29.0,32.2,0,21.136999999999997
41,25.38,19.9,30.4,2.2,0,26.805
42,27.66,23.1,32.7,0.0,0,26.389
43,25.54,22.5,32.1,0.0,0,24.219
44,24.32,21.1,31.6,0.0,1,30.230999999999998
45,22.9,20.0,27.6,17.4,1,24.968000000000004
46,21.6,18.8,27.3,22.7,0,25.343000000000004
47,22.76,19.7,28.0,85.3,0,17.399
48,22.22,19.9,26.4,13.4,0,21.392
49,23.92,19.9,28.5,2.4,0,22.921999999999997
