,0
0,23.362
1,29.13
2,23.181
3,31.387
4,30.329
5,21.004
6,25.85
7,29.265
8,24.222
9,23.055
10,22.008000000000006
11,26.468000000000004
12,29.188
13,21.814
14,21.137
15,21.073
16,28.9
17,21.827
18,28.028
19,25.142
20,28.397
21,22.741
22,30.231
23,28.893
24,35.861
25,22.933000000000003
26,18.146
27,26.311
28,23.469
29,24.114
30,19.525
31,22.541
32,19.113
33,25.07
34,19.052
35,22.001
36,30.479
37,28.617
38,21.237
39,26.99
40,24.183000000000003
41,28.647
42,22.772
43,14.343
44,26.116
45,16.977
46,21.86
47,35.126999999999995
48,27.137
49,22.62
50,26.308000000000003
51,25.743
52,24.867
53,28.405
54,26.805
55,23.042
56,28.742
57,26.127
58,28.441
59,14.94
60,25.461
61,20.68
62,21.281
63,26.959
64,29.267
65,33.93
66,20.738000000000003
67,25.272
68,29.09
69,23.07
70,25.692
71,29.732
72,24.925
73,24.594
74,32.451
75,36.254
76,24.827
77,30.524
78,26.594
79,24.863000000000003
80,19.143
81,30.345
82,29.76
83,23.898000000000003
84,23.022
85,29.411
86,22.96
87,24.213
88,24.862
89,30.498
90,22.032
91,28.131
92,16.748
93,28.049
94,31.139
95,21.826
96,26.075
97,23.375
98,21.055
99,21.294
100,19.95
101,22.654
102,34.382
103,24.968000000000004
104,22.389
105,22.446
106,20.106
107,30.127
108,21.406
109,28.972
110,20.167
111,32.467
112,30.814
113,22.217
114,30.825
115,26.095
116,25.233
117,24.219
118,26.021
119,18.448
120,30.471
121,23.849
122,23.065
123,31.108
124,21.252
125,37.69
126,24.146
127,25.795
128,29.386
129,27.657
130,20.016
131,24.534
132,17.075
133,23.537
134,21.454
135,35.781
136,21.979
137,17.287
138,27.871
139,22.199
140,29.621
141,34.496
142,27.475
143,23.198
144,20.538
145,27.724
146,32.536
147,17.655
148,33.822
149,30.943
150,16.956
151,24.227
152,24.215
153,24.097
154,24.529
155,25.343000000000004
156,32.184
157,25.698
158,24.0
159,26.523000000000003
160,29.926
161,22.116
162,32.666
163,21.825
164,20.161
165,27.387
166,23.243
167,28.857
168,31.129
169,23.628
170,27.964
171,32.983000000000004
172,21.029
173,31.663
174,24.429
175,24.862
176,22.933000000000003
177,25.479
178,22.664
179,26.836
180,20.467
181,20.74
182,22.988000000000003
183,20.62
184,20.227
185,20.824
186,28.844
187,19.64
188,27.488000000000003
189,32.872
190,33.298
191,22.162
192,19.761
193,27.042
194,20.681
195,22.61
196,30.177
197,26.845
198,30.617
199,20.648000000000003
200,21.617
201,26.793000000000006
202,17.939
203,22.784
204,24.726
205,26.15
206,18.975
207,20.464
208,24.609
209,23.357
210,16.227999999999998
211,26.249
212,32.589
213,29.579
214,27.713
215,24.619
216,22.634
217,26.691
218,28.411
219,27.42
220,21.525
221,21.689
222,29.569000000000006
223,24.062
224,24.738000000000003
225,22.522
226,17.730999999999995
227,20.786
228,27.594
229,22.603
230,24.258000000000006
231,30.74
232,23.134
233,22.039
234,20.332
235,20.903
236,29.513
237,27.25
238,22.356
239,25.489
240,22.696
241,32.056999999999995
242,26.241
243,25.119
244,31.933000000000003
245,24.679
246,31.088
247,19.029
248,17.887999999999995
249,25.317
250,28.631
251,22.304
252,25.366
253,31.31
254,26.58
255,33.45
256,32.473
257,30.775
258,31.833
259,28.456
260,33.33
261,29.799
262,26.964
263,21.062
264,31.681
265,29.637
266,19.727
267,27.989
268,23.566
269,26.081
270,25.855
271,21.104
272,24.567
273,32.713
274,21.735
275,24.304
276,32.78
277,31.836
278,29.938
279,20.429
280,26.828000000000007
281,24.862
282,26.467
283,21.593000000000004
284,31.825
285,33.181999999999995
286,22.309
287,24.227
288,32.306999999999995
289,21.838
290,21.955
291,25.937
