,0
0,28.348000000000006
1,27.03
2,21.392
3,21.662
4,29.972
5,20.238
6,24.337
7,24.886
8,21.52
9,22.409
10,22.401
11,23.614
12,20.3
13,28.084
14,24.632
15,17.399
16,26.275
17,30.505
18,21.245
19,19.345
20,24.683000000000003
21,28.218000000000004
22,26.594
23,19.463
24,30.3
25,34.695
26,20.298
27,21.784
28,29.607
29,28.979
30,28.034
31,20.452
32,24.388
33,24.615
34,28.61
35,21.748
36,31.649
37,24.33
38,23.937
39,19.119
40,22.922
41,37.937
42,27.518
43,24.974
44,28.749
45,30.392
46,25.867
47,21.479
48,25.343000000000004
49,31.655
50,29.829
51,31.572
52,20.575
53,25.285
54,26.272
55,22.821
56,24.834
57,26.389
58,21.092
59,22.375
60,23.702
61,33.517
62,20.812
63,17.241
64,25.64
65,19.849
66,23.21
67,27.146
68,27.582
69,26.362
70,25.724
71,21.327
72,24.876
